product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Sony Bravia X7500F 138.8cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹79999,4.6,68 Ratings & 6 Reviews
LG 123cm (49 inch) Full HD LED Smart TV,Netflix|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹62999,4.3,570 Ratings & 140 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Samsung Q Series 163cm (65 inch) Ultra HD (4K) QLED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,200 Hz Refresh Rate,4 x HDMI | 3 x USB,₹341900,2.3,4 Ratings & 1 Reviews
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV,Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,35 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,₹41990,4.7,29 Ratings & 6 Reviews
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25999,4.5,42 Ratings & 6 Reviews
Sony Bravia X7002F 108cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 3 x USB,₹54499,4.4,193 Ratings & 26 Reviews
Sony 108cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹67890,4.6,419 Ratings & 87 Reviews
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹39999,4.5,449 Ratings & 56 Reviews
Samsung Series 6 123cm (49 inch) Ultra HD (4K) LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 × 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate,3 x HDMI | 2 x USB,₹71999,3.4,5 Ratings & 1 Reviews
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹31999,4.4,70 Ratings & 11 Reviews
LG 123cm (49 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,₹45999,4.5,2,961 Ratings & 465 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Samsung Series 7 123cm (49 inch) Ultra HD (4K) LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,100 Hz Refresh Rate,4 x HDMI | 3 x USB,₹80999,3.7,6 Ratings & 1 Reviews
Sony Bravia X7500F 163.9cm (65 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹142299,4.4,9 Ratings & 0 Reviews
Sony Bravia X7500F 108cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹59290,4.4,128 Ratings & 24 Reviews
Samsung 138cm (55 inch) Ultra HD (4K) Curved LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,200 Hz Refresh Rate,4 x HDMI | 3 x USB,₹256999,3.6,20 Ratings & 8 Reviews
LG 164cm (65 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,₹98990,4.5,2,961 Ratings & 465 Reviews
LG 138cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 2 x USB,₹67968,4.4,5 Ratings & 1 Reviews
LG 139cm (55 inch) Ultra HD (4K) OLED Smart TV,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4 x HDMI | 3 x USB,₹122990,4.8,10 Ratings & 3 Reviews
LG 164cm (65 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹175990,4.4,48 Ratings & 11 Reviews
Samsung Series 7 138cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate,3 x HDMI | 2 x USB,₹79900,4.8,21 Ratings & 2 Reviews
Sony Bravia X9000F 138.8cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate,4 x HDMI | 3 x USB,₹129999,4.7,40 Ratings & 9 Reviews
Samsung N4200 80cm (32 inch) HD Ready LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,HD Ready 1366 x 768 Pixels,10 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,₹26899,4.3,3 Ratings & 0 Reviews
Samsung 5010AR 108cm (43 inch) Full HD LED TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,₹30555,2.3,3 Ratings & 1 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
LG 138cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 2 x USB,₹67968,4.4,5 Ratings & 1 Reviews
Sony Bravia A8F 138.8cm (55 inch) Ultra HD (4K) OLED Smart Android TV,Netflix|Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,100 Hz Refresh Rate,4 x HDMI | 3 x USB,₹169999,4.8,13 Ratings & 2 Reviews
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25999,4.5,42 Ratings & 6 Reviews
LG 164cm (65 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹175990,4.4,48 Ratings & 11 Reviews
Samsung Series 7 138cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate,3 x HDMI | 2 x USB,₹68991,4.8,21 Ratings & 2 Reviews
Sony Bravia X9000F 138.8cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,100 Hz Refresh Rate,4 x HDMI | 3 x USB,₹129999,4.7,40 Ratings & 9 Reviews
Samsung N4200 80cm (32 inch) HD Ready LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,HD Ready 1366 x 768 Pixels,10 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,₹26899,4.3,3 Ratings & 0 Reviews
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹39999,4.5,449 Ratings & 56 Reviews
Samsung 5010AR 108cm (43 inch) Full HD LED TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,₹30555,2.3,3 Ratings & 1 Reviews
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹31999,4.4,70 Ratings & 11 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Sony 138.8CM (55 inch) Ultra HD (4K) OLED Smart Android TV,Netflix|Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,120 Hz Refresh Rate,4 x HDMI | 3 x USB,₹79999,4.8,4 Ratings & 2 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25999,4.5,42 Ratings & 6 Reviews
Sony 138.8cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,100 Hz Refresh Rate,4 x HDMI | 3 x USB,₹89999,4.4,11 Ratings & 4 Reviews
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹39999,4.5,449 Ratings & 56 Reviews
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹31999,4.4,70 Ratings & 11 Reviews
LG 123cm (49 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,₹45999,4.5,2,961 Ratings & 465 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Sony 123.2cm (49 inch) Full HD LED Smart TV,Netflix|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,30 W Speaker Output,200 Hz Refresh Rate,2 x HDMI | 2 x USB,₹56999,4.5,143 Ratings & 37 Reviews
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25999,4.5,42 Ratings & 6 Reviews
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹39999,4.5,449 Ratings & 56 Reviews
Samsung 123cm (49 inch) Ultra HD (4K) Curved LED Smart TV,Netflix|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,200 Hz Refresh Rate,4 x HDMI | 3 x USB,₹74999,4.4,58 Ratings & 18 Reviews
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹31999,4.4,70 Ratings & 11 Reviews
LG 123cm (49 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,₹45999,4.5,2,961 Ratings & 465 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25999,4.5,42 Ratings & 6 Reviews
