,model,weight_g,weight_oz,OS,internal_memory,audio_jack,GPS,battery_mah,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,thickness_mm,GPU_new,brand_idx,GPS_new,primary_cam_MP,secondary_cam_MP,gprs,edge,sim,ppi,memory_card,battery_removable,indian_price,ram
2804,3G 402+,124.0,4.37,1,4.0,1,0,1500.0,4.0,56.3,125.5,64.5,11.4,3,32,1,3.15,0.0,1.0,1.0,2,410,128,1,5182.8,4
2805,3G 402,124.0,4.37,1,512.0,1,1,1500.0,4.0,56.3,125.5,64.5,11.4,3,32,1,3.15,0.0,1.0,1.0,2,390,128,1,4442.400000000001,8
2806,Iris 405+,127.0,4.48,1,4.0,1,0,1400.0,4.0,56.9,125.0,64.0,9.0,3,32,1,5.0,0.0,1.0,1.0,2,410,128,1,5182.8,8
2807,Iris 503,175.0,6.17,1,4.0,1,1,2000.0,5.0,65.7,143.2,73.3,10.5,3,32,1,3.15,1.3,1.0,1.0,2,390,128,1,6663.6,4
2808,Le Pro 3 AI Edition,168.0,5.93,1,32.0,0,1,4000.0,5.5,72.9,152.4,75.1,7.5,3,33,1,0.0,8.0,1.0,1.0,2,225,128,0,20731.2,4
2809,Le Pro3 Elite,175.0,6.17,1,32.0,0,1,4070.0,5.5,74.5,151.4,73.9,7.5,1,33,1,16.0,8.0,1.0,1.0,2,390,128,0,20731.2,4
2810,Le S3,153.0,5.4,1,32.0,0,1,3000.0,5.5,74.4,151.1,74.2,7.5,1,33,1,16.0,8.0,1.0,1.0,2,225,128,0,14808.000000000002,6
2811,Le Pro3,175.0,6.17,1,32.0,0,1,4070.0,5.5,73.8,151.4,73.9,7.5,1,33,1,16.0,8.0,1.0,1.0,2,225,128,0,24433.2,8
2812,Le Max 2,185.0,6.53,1,32.0,0,1,3100.0,5.7,73.6,156.8,77.6,8.0,1,33,1,21.0,8.0,1.0,1.0,2,225,128,0,25914.000000000004,4
2813,Le 2 Pro,153.0,5.4,1,32.0,0,1,3000.0,5.5,74.4,151.1,74.2,7.5,3,33,1,21.0,8.0,1.0,1.0,2,210,128,0,19250.4,4
2814,Le 2,153.0,5.4,1,32.0,0,1,3000.0,5.5,74.4,151.1,74.2,7.5,3,33,1,16.0,8.0,1.0,1.0,2,410,128,0,14067.6,8
2815,Le Max,204.0,7.2,1,64.0,1,1,3400.0,6.33,79.2,167.1,83.5,9.0,1,33,1,21.0,4.0,1.0,1.0,2,225,128,0,25914.000000000004,6
2816,Le 1s,169.0,5.96,1,32.0,1,1,3000.0,5.5,74.4,151.1,74.2,7.6,5,33,1,13.0,5.0,1.0,1.0,2,410,128,0,15548.400000000001,6
2817,Tab 4 10 Plus,475.0,1.05,1,16.0,1,1,7000.0,10.1,69.2,247.0,173.0,7.0,1,34,1,8.0,5.0,1.0,1.0,1,410,128,0,17769.600000000002,4
2818,Tab 4 10,500.0,1.1,1,16.0,1,1,7000.0,10.1,70.0,247.0,171.0,8.3,1,34,1,5.0,2.0,1.0,1.0,1,390,128,0,10365.6,4
2819,Tab 4 8 Plus,300.0,10.58,1,16.0,1,1,4850.0,8.0,71.8,210.0,123.0,7.0,1,34,1,8.0,5.0,1.0,1.0,1,410,128,0,14067.6,8
2820,Tab 4 8,310.0,10.93,1,16.0,1,1,4850.0,8.0,70.9,211.0,124.0,8.2,1,34,1,5.0,2.0,1.0,1.0,1,210,128,0,7404.000000000001,6
2821,Tab3 8 Plus,329.0,11.61,1,16.0,1,1,4250.0,8.0,70.7,210.0,125.0,8.9,1,34,1,8.0,5.0,1.0,1.0,1,210,128,0,12586.800000000001,4
2822,ZUK Edge,160.0,5.64,1,64.0,1,1,3100.0,5.5,78.3,142.9,74.5,7.7,1,34,1,13.0,8.0,1.0,1.0,2,210,128,0,33318.0,6
2823,A6600 Plus,142.0,5.01,1,16.0,1,1,2300.0,5.0,68.8,141.0,71.0,8.8,3,34,1,8.0,2.0,1.0,1.0,2,225,128,1,9625.2,8
2824,A6600,142.0,5.01,1,16.0,1,1,2300.0,5.0,68.8,141.0,71.0,8.8,3,34,1,8.0,2.0,1.0,1.0,2,210,128,1,8144.400000000001,8
2825,B,144.0,5.08,1,8.0,1,1,2000.0,4.5,65.9,132.5,66.0,9.9,3,34,1,5.0,2.0,1.0,1.0,2,225,128,1,5923.200000000001,8
2826,A Plus,146.0,5.15,1,8.0,1,1,2000.0,4.5,63.6,133.0,66.0,9.9,3,34,1,5.0,2.0,1.0,1.0,2,210,128,1,5182.8,8
2827,P2,177.0,6.24,1,32.0,1,1,5100.0,5.5,71.7,153.0,76.0,8.3,1,34,1,13.0,5.0,1.0,1.0,2,410,128,0,17769.600000000002,8
2828,K6 Note,169.0,5.96,1,32.0,1,1,4000.0,5.5,72.7,151.0,76.0,8.4,1,34,1,16.0,8.0,1.0,1.0,2,410,128,0,18510.0,8
2829,K6 Power,145.0,5.11,1,16.0,1,1,4000.0,5.0,69.1,141.9,70.3,9.3,1,34,1,13.0,8.0,1.0,1.0,2,390,128,0,12586.800000000001,8
2830,K6,140.0,4.94,1,16.0,1,1,3000.0,5.0,69.1,141.9,70.3,8.2,1,34,1,13.0,8.0,1.0,1.0,2,210,128,0,14808.000000000002,4
2832,Vibe A,132.0,4.66,1,4.0,1,1,1700.0,4.0,57.2,124.5,64.0,10.6,3,34,1,5.0,0.0,1.0,1.0,2,210,128,1,3702.0000000000005,4
2834,C2,139.0,4.9,1,8.0,1,1,2750.0,5.0,67.5,143.0,71.4,8.6,3,34,1,8.0,5.0,1.0,1.0,2,210,128,1,14808.000000000002,8
2835,Phab2 Plus,218.0,7.69,1,32.0,1,1,4050.0,6.4,73.5,173.9,88.3,9.6,3,34,1,0.0,8.0,1.0,1.0,2,390,128,0,18510.0,6
2836,Phab2,225.0,7.94,1,32.0,1,1,4050.0,6.4,72.1,175.0,89.5,9.6,3,34,1,13.0,5.0,1.0,1.0,2,225,128,0,17029.2,8
2837,Phab2 Pro,259.0,9.14,1,64.0,1,1,4050.0,6.4,70.9,179.8,88.6,10.7,1,34,1,16.0,8.0,1.0,1.0,2,390,128,0,40722.0,8
2838,ZUK Z2,149.0,5.26,1,64.0,1,1,3500.0,5.0,70.6,141.7,68.9,8.5,1,34,1,13.0,8.0,1.0,1.0,2,410,128,0,16288.800000000001,8
2839,Vibe C,166.0,5.86,1,8.0,1,1,2300.0,5.0,29.7,143.5,71.8,9.0,1,34,1,5.0,2.0,1.0,1.0,2,225,128,1,6663.6,6
2840,ZUK Z2 Pro,145.0,5.11,1,64.0,1,1,3100.0,5.2,72.7,145.4,70.5,7.5,1,34,1,13.0,8.0,1.0,1.0,2,410,128,0,38500.8,4
2841,Tab3 10,509.0,1.12,1,32.0,1,1,7000.0,10.1,70.0,247.0,171.0,8.9,3,34,1,8.0,5.0,1.0,1.0,1,410,128,0,20731.2,8
2842,Tab3 8,329.0,11.61,1,16.0,1,1,4290.0,8.0,70.7,210.0,125.0,8.9,3,34,1,5.0,2.0,1.0,1.0,1,225,128,0,8884.800000000001,4
2843,Tab3 7,260.0,9.17,1,8.0,1,1,3450.0,7.0,72.2,191.0,100.0,8.8,3,34,1,2.0,0.0,1.0,1.0,1,225,128,0,5923.200000000001,6
2844,Vibe K5 Plus,142.0,5.01,1,16.0,1,1,2750.0,5.0,68.4,142.0,71.0,8.0,1,34,1,13.0,5.0,1.0,1.0,2,210,128,1,10365.6,6
2845,Vibe K5,142.0,5.01,1,16.0,1,1,2750.0,5.0,68.4,142.0,71.0,8.0,1,34,1,13.0,5.0,1.0,1.0,2,390,128,1,8884.800000000001,6
2846,A7000 Turbo,150.0,5.29,1,16.0,1,1,2900.0,5.5,71.7,152.6,76.2,8.0,3,34,1,13.0,5.0,1.0,1.0,2,225,128,1,13327.2,8
2847,Vibe P1 Turbo,189.0,6.67,1,32.0,1,1,4900.0,5.5,72.1,152.9,75.6,9.9,1,34,1,13.0,5.0,1.0,1.0,2,410,128,0,19250.4,8
2848,K5 Note,165.0,5.82,1,32.0,1,1,3500.0,5.5,72.5,152.0,75.7,8.5,3,34,1,13.0,8.0,1.0,1.0,2,225,128,0,14067.6,8
2849,Lemon 3,142.0,5.01,1,16.0,1,1,2750.0,5.0,68.4,142.0,71.0,8.0,1,34,1,13.0,5.0,1.0,1.0,2,210,128,1,8144.400000000001,4
2850,Vibe S1 Lite,129.0,4.55,1,16.0,1,1,2700.0,5.0,66.9,145.0,71.0,8.6,3,34,1,13.0,8.0,1.0,1.0,2,410,128,0,15548.400000000001,4
2851,Vibe K4 Note,158.0,5.57,1,16.0,1,1,3300.0,5.5,71.0,153.6,76.5,9.2,3,34,1,13.0,5.0,1.0,1.0,2,210,128,0,14067.6,8
2853,Vibe X3,175.0,6.17,1,32.0,1,1,3500.0,5.5,70.8,154.0,76.5,9.3,1,34,1,21.0,8.0,1.0,1.0,2,410,128,0,22212.000000000004,8
2854,A3690,140.0,4.94,1,8.0,1,1,2300.0,5.0,68.6,141.2,71.2,8.8,3,34,1,8.0,2.0,1.0,1.0,2,410,128,1,8144.400000000001,4
2855,Yoga Tab 3 Pro,666.8,1.47,1,64.0,1,1,10.0,10.1,66.9,246.9,179.1,4.7,0,34,1,13.0,5.0,1.0,1.0,1,410,128,0,35539.200000000004,8
2857,A1000,132.0,4.66,1,8.0,1,1,2000.0,4.0,57.2,124.5,64.0,10.6,3,34,1,5.0,0.0,1.0,1.0,2,390,128,1,4442.400000000001,4
2858,Phab,250.0,8.82,1,16.0,1,1,4250.0,6.98,74.4,186.0,97.0,8.9,1,34,1,13.0,5.0,1.0,1.0,2,225,128,0,13327.2,8
2859,Phab Plus,229.0,8.08,1,32.0,1,1,3500.0,6.8,70.7,186.6,96.6,7.6,1,34,1,13.0,5.0,1.0,1.0,2,225,128,0,18510.0,4
2860,Vibe P1,189.0,6.67,1,32.0,1,1,5000.0,5.5,72.1,152.9,75.6,9.9,1,34,1,13.0,5.0,1.0,1.0,2,410,128,0,28135.2,6
2861,A6010 Plus,128.0,4.52,1,16.0,1,1,2300.0,5.0,69.8,141.0,70.0,8.2,1,34,1,13.0,5.0,1.0,1.0,2,410,128,1,11846.400000000001,6
2862,A6010,128.0,4.52,1,8.0,1,1,2300.0,5.0,69.8,141.0,70.0,8.2,1,34,1,8.0,2.0,1.0,1.0,2,410,128,1,11106.000000000002,4
2863,Vibe P1m,148.0,5.22,1,16.0,1,1,4000.0,5.0,68.1,141.0,71.8,9.3,3,34,1,8.0,5.0,1.0,1.0,2,225,128,0,8144.400000000001,6
2864,Vibe S1,132.0,4.66,1,32.0,1,1,2420.0,5.0,67.9,143.3,70.8,7.8,3,34,1,13.0,8.0,1.0,1.0,2,410,128,0,19990.800000000003,4
2865,ZUK Z1,175.0,6.17,1,64.0,1,1,4100.0,5.5,69.3,155.7,77.3,8.9,1,34,1,13.0,8.0,1.0,1.0,2,225,128,0,23692.800000000003,6
2866,A2010,137.0,4.83,1,8.0,1,1,2000.0,4.5,63.8,131.5,66.5,9.9,3,34,1,5.0,2.0,1.0,1.0,2,410,128,1,5182.8,6
2868,A3900,157.0,5.54,1,4.0,1,1,2300.0,5.0,67.2,142.8,71.8,9.0,3,34,1,5.0,2.0,1.0,1.0,2,210,128,1,5182.8,8
